"English","العربية"
"No transactions found.","لم يتم العثور على معاملات."
"No users available to assign","لا يوجد مستخدمون متاحون للتعيين"
"No users found","لم يتم العثور على مستخدمين"
"No valid translation strings found","لم يتم العثور على سلاسل ترجمة صالحة"
"No webhooks found","لم يتم العثور على webhooks"
"None","لا شيء"
"Not Configured","غير مُكوّن"
"You Can&#039;t Delete Base Currency","لا يمكنك حذف العملة الأساسية"
"Not Set","غير محدد"
"Notice","إشعار"
"Notification Email","البريد الإلكتروني للإشعار"
"Notification Sound","صوت الإشعار"
"Notify Administrator When New Tenant Register","إشعار المدير عند تسجيل مستأجر جديد"
"Obtain your Google Re-Captcha credentials","احصل على بيانات اعتماد Google Re-Captcha الخاصة بك"
"of","of"
"of total","من المجموع"
"Official WhatsApp Webhook Documentation","التوثيق الرسمي لـ WhatsApp Webhook"
"Offline Instructions","تعليمات غير متصل"
"Offline Payment","دفع غير متصل"
"These details for offline payments.","هذه التفاصيل للمدفوعات غير المتصلة."
"Offline payment settings","إعدادات الدفع غير المتصل"
"Offline payment settings description","وصف إعدادات الدفع غير المتصل"
"OG Description","وصف OG"
"OG Settings","إعدادات OG"
"OG Title","عنوان OG"
"on behalf of","نيابة عن"
"On Hold","معلّق"
"Once you have active subscriptions, you","بمجرد أن يكون لديك اشتراكات نشطة، أنت"
"Only active departments appear in ticket forms","تظهر الأقسام النشطة فقط في نماذج التذاكر"
"Open","مفتوح"
"Open Sidebar","فتح الشريط الجانبي"
"Open Tickets","التذاكر المفتوحة"
"Open Tickets:","التذاكر المفتوحة:"
"Open user menu","فتح قائمة المستخدم"
"Optimization settings updated successfully","تم تحديث إعدادات التحسين بنجاح"
"(Optional)","(اختياري)"
"Order","الطلب"
"Organize departments by function or expertise","Organize departments by function أو expertise"
"Original Attachments","المرفقات الأصلية"
"Outline","المخطط"
"Overview of department metrics","نظرة عامة على مقاييس الأقسام"
"Page","الصفحة"
"Page activated successfully","تم تفعيل الصفحة بنجاح"
"Page created successfully","تم إنشاء الصفحة بنجاح"
"Page deactivated successfully","تم تعطيل الصفحة بنجاح"
"Page delete failed","فشل حذف الصفحة"
"Page deleted successfully","تم حذف الصفحة بنجاح"
"Page save failed","فشل حفظ الصفحة"
"Page updated successfully","تم تحديث الصفحة بنجاح"
"Pages","الصفحات"
"Pages","الصفحات"
"Paid","مدفوع"
"Paid Invoices","الفواتير المدفوعة"
" Paid on:","تم الدفع في:"
"Parent Page","الصفحة الأصلية"
"Partner Logo","شعار الشريك"
"Partner logos saved successfully!","تم حفظ شعارات الشركاء بنجاح!"
"Partner Logos","شعارات الشركاء"
"Password","كلمة المرور"
"Password Recovery","استعادة كلمة المرور"
"Password","كلمة المرور"
"A new password reset link has been sent to your email address.","تم إرسال رابط إعادة تعيين كلمة المرور الجديد إلى بريدك الإلكتروني."
"Password updated successfully!","تم تحديث كلمة المرور بنجاح!"
"Password updated successfully. You have been logged out.","تم تحديث كلمة المرور بنجاح. تم تسجيل خروجك."
"Password updated successfully. You have been logged out.","تم تحديث كلمة المرور بنجاح. تم تسجيل خروجك."
"Password updated successfully!","تم تحديث كلمة المرور بنجاح!"
"Pause Subscription","إيقاف الاشتراك مؤقتاً"
"Paused","متوقف مؤقتاً"
"Paused At","تم الإيقاف في"
"Pay Now","ادفع الآن"
"Pay securely with PayPal - Bank accounts, credit cards, and PayPal balance supported","Pay securely with PayPal - Bank accounts, credit cards, و PayPal balance supported"
"Payment","الدفع"
"This payment has already been processed successfully.","تمت معالجة هذا الدفع بنجاح بالفعل."
"Payment has been approved and subscription activated.","Payment has been approved و subscription activated."
"This payment has been approved. The invoice has been marked as paid and the subscription has been activated.","This payment has been approved. The invoice has been marked as paid و the subscription has been activated."
"Approved on:","تمت الموافقة في:"
"Payment Approved","تمت الموافقة على الدفعة"
"Payment Authentication","مصادقة الدفع"
"Payment Authentication Required","مطلوب مصادقة الدفع"
"Payment Date","تاريخ الدفع"
"A payment error occurred. Please try again.","حدث خطأ في الدفع. يرجى المحاولة مرة أخرى."
"Payment failed. Please try again.","فشل الدفع. يرجى المحاولة مرة أخرى."
"Payment Failures","فشل الدفع"
"Payment Gateway","بوابة الدفع"
"Payment Gateway Settings","إعدادات بوابة الدفع"
"Payment gateway settings saved successfully.","تم حفظ إعدادات بوابة الدفع بنجاح."
"Payment Gateway Webhooks","Webhooks بوابة الدفع"
"Payment Gateways","بوابات الدفع"
"Payment gateways updated successfully.","تم تحديث بوابات الدفع بنجاح."
"Payment ID","معرّف الدفع"
"Payment Information","معلومات الدفع"
"Payment Instructions","تعليمات الدفع"
"There was a problem with your payment authentication link.","كانت هناك مشكلة في رابط مصادقة الدفع الخاص بك."
"Payment Method","طريقة الدفع"
"Thank you for your business! Your payment has been received and processed successfully.","Thank you for your business! Your payment has been received و processed successfully."
"Payment Reference","مرجع الدفع"
"This payment has been rejected.","تم رفض هذا الدفع."
"Rejected on:","تم الرفض في:"
"Payment Rejected","تم رفض الدفعة"
"Reason: ","السبب: "
"Payment Settings","إعدادات الدفع"
"Payment completed successfully","تم إتمام الدفع بنجاح"
"Thank you for your business. All payments are due within the specified due date.","شكراً لك على تعاملك. جميع المدفوعات مستحقة خلال تاريخ الاستحقاق المحدد."
"Payment token is missing","رمز الدفع مفقود"
"An error occurred while verifying payment","حدث خطأ أثناء التحقق من الدفع"
"Payment verification failed. Please try again.","فشل التحقق من الدفع. يرجى المحاولة مرة أخرى."
"PayPal","PayPal"
"Brand Name","اسم العلامة التجارية"
"PayPal Client ID","معرّف عميل PayPal"
"Your PayPal application client ID from the Developer Dashboard","معرّف عميل تطبيق PayPal من لوحة تحكم المطور"
"PayPal Client Secret","الرمز السري لعميل PayPal"
"Your PayPal application client secret from the Developer Dashboard","الرمز السري لتطبيق PayPal من لوحة تحكم المطور"
"PayPal Configuration","تكوين PayPal"
"Configure your PayPal payment gateway settings. You can get these credentials from your PayPal Developer Dashboard.","قم بتكوين إعدادات بوابة دفع PayPal. يمكنك الحصول على بيانات الاعتماد هذه من لوحة تحكم مطور PayPal."
"PayPal Mode","وضع PayPal"
"PayPal Payment","دفع PayPal"
"PayPal Payment Settings","إعدادات دفع PayPal"
"Configure these webhook events in your PayPal Developer Dashboard","قم بتكوين أحداث webhook هذه في لوحة تحكم مطور PayPal"
"Set up webhooks to receive real-time payment notifications from PayPal","إعداد webhooks لتلقي إشعارات الدفع في الوقت الفعلي من PayPal"
"Paystack","Paystack"
"Paystack Configuration","تكوين Paystack"
"Configure your Paystack API keys and settings","Configure your Paystack API keys و settings"
"Cards, Bank Transfer, Mobile Money","البطاقات، التحويل البنكي، المال المحمول"
"Pay securely with Paystack - Cards, Bank Transfer, USSD, and Mobile Money supported.","Pay securely with Paystack - Cards, Bank Transfer, USSD, و Mobile Money supported."
"Paystack","Paystack"
"Paystack Payment Settings","إعدادات دفع Paystack"
"Your Paystack public key (starts with pk_)","مفتاح Paystack العام (يبدأ بـ pk_)"
"Your Paystack secret key (starts with sk_)","مفتاح Paystack السري (يبدأ بـ sk_)"
"Cards, Bank Transfer, Mobile Money","البطاقات، التحويل البنكي، المال المحمول"
"NGN (Nigerian Naira), USD (US Dollar), GHS (Ghanaian Cedi), ZAR (South African Rand), KES (Kenyan Shilling)","NGN (نايرا نيجيري)، USD (دولار أمريكي)، GHS (سيدي غاني)، ZAR (راند جنوب أفريقي)، KES (شلن كيني)"
"Add this URL to your Paystack dashboard webhook settings","أضف هذا الرابط إلى إعدادات webhook في لوحة Paystack"
"Pending","قيد الانتظار"
"Pending Subscriptions","الاشتراكات المعلقة"
"Pending Tickets","التذاكر المعلقة"
"per file","لكل ملف"
"Per Page","لكل صفحة"
"Percentage","النسبة المئوية"
"Performance Optimization","تحسين الأداء"
"Performance Recommendations","توصيات الأداء"
"Always use production mode unless actively working on new features or debugging.","Always use production mode unless actively working on new features أو debugging."
"Period","الفترة"
"Personal Information","المعلومات الشخصية"
"Phone","الهاتف"
"Phone:","الهاتف:"
"Plan","الخطة"
"Plan activated successfully","تم تفعيل الخطة بنجاح"
"Plan created successfully","تم إنشاء الخطة بنجاح"
"Plan deactivated successfully","تم تعطيل الخطة بنجاح"
"Plan deleted successfully","تم حذف الخطة بنجاح"
"Plan Details","تفاصيل الخطة"
"Plan Distribution","توزيع الخطط"
"Plan Features","ميزات الخطة"
"This plan is in use by active subscriptions and cannot be deleted","This plan is in use by active subscriptions و cannot be deleted"
"Plan marked as featured","تم وضع علامة الخطة كمميزة"
"Plan Name","اسم الخطة"
"Plan not found","الخطة غير موجودة"
"Plan Price","سعر الخطة"
"Plan unmarked as featured","تم إزالة علامة الخطة كمميزة"
"Plan updated successfully","تم تحديث الخطة بنجاح"
"Plans","الخطط"
"Plans Page Link","رابط صفحة الخطط"
"Plans Page Settings","إعدادات صفحة الخطط"
"Plans Page Title","عنوان صفحة الخطط"
"Plans Read","قراءة الخطط"
"Please check your cron job setup. It has not run in the last 48 hours.","يرجى التحقق من إعداد مهمة cron. لم يتم تشغيلها خلال آخر 48 ساعة."
"Please copy your new API token now.","يرجى نسخ رمز API الجديد الآن."
"Please do not close this window or navigate away until the update is complete.","Please do not close this window أو navigate away until the update is complete."
"Please provide a reason for rejecting this payment...","يرجى تقديم سبب لرفض هذا الدفع..."
"Please select an action","يرجى اختيار إجراء"
"Please select an option","يرجى اختيار خياراً"
"Please wait while we retrieve the subscription information.","يرجى الانتظار بينما نسترجع معلومات الاشتراك."
"portal","portal"
"Prefix","البادئة"
"Preview","معاينة"
"Previous","السابق"
"Price","السعر"
"Pricing","الأسعار"
"Pricing &amp; Limits","التسعير والحدود"
"Pricing Plan","خطة التسعير"
"Pricing Section Subtitle","العنوان الفرعي لقسم الأسعار"
"Pricing Section Title","عنوان قسم الأسعار"
"Primary","رئيسي"
"Primary Button Text","نص الزر الرئيسي"
"Primary Button Type","نوع الزر الرئيسي"
"Primary Button URL","رابط الزر الرئيسي"
"Priority","الأولوية"
"Priority:","الأولوية:"
"Priority Levels","مستويات الأولوية"
"Privacy Policy","سياسة الخصوصية"
"Set up and manage your privacy policy page that users can view","Set up و manage your privacy policy page that users can view"
"Processed","معالج"
" Processing...","جاري المعالجة..."
"Processing cache clearing...","جارٍ معالجة مسح ذاكرة التخزين المؤقت..."
"Processing Days","أيام المعالجة"
"Processing days example","مثال على أيام المعالجة"
"Processing error","خطأ في المعالجة"
"production","production"
"Profile Image","صورة الملف الشخصي"
"Profile Image Removed Successfully","تم إزالة صورة الملف الشخصي بنجاح"
"Profile updated successfully","تم تحديث الملف الشخصي بنجاح"
"Provide a clear and descriptive subject","Provide a clear و descriptive subject"
"Provide translations for all supported languages","قدم ترجمات لجميع اللغات المدعومة"
"Provider","المزود"
"Public Key","المفتاح العام"
"Publishable Key","المفتاح القابل للنشر"
"Your Stripe publishable key (starts with pk_)","مفتاح Stripe القابل للنشر (يبدأ بـ pk_)"
" Purchase Key","مفتاح الشراء"
"Pusher","Pusher"
"Pusher connection test failed, Check logs for more details","فشل اختبار اتصال Pusher، تحقق من السجلات للمزيد من التفاصيل"
"Pusher connection test successful!","نجح اختبار اتصال Pusher!"
"Pusher test connection error:","خطأ في اختبار اتصال Pusher:"
"Pusher test connection failed:","فشل اختبار اتصال Pusher:"
"QR Code Payments","مدفوعات رمز QR"
"Qty","الكمية"
"Quantity","الكمية"
"Question","السؤال"
"Queue Driver","محرك قائمة الانتظار"
"Choose how background jobs and tasks are processed by your application.","Choose how background jobs و tasks are processed by your application."
"Queue Method","طريقة قائمة الانتظار"
"Queues allow deferring time-consuming tasks, such as sending emails, until a later time.","تسمح قوائم الانتظار بتأجيل المهام التي تستغرق وقتاً طويلاً، مثل إرسال رسائل البريد الإلكتروني، إلى وقت لاحق."
"Queue Monitoring","مراقبة قائمة الانتظار"
"Quick Actions","إجراءات سريعة"
"Quick Filters","مرشحات سريعة"
"Quick Response Tips:","نصائح للرد السريع:"
"Quick setup to launch your marketing campaigns","إعداد سريع لإطلاق حملاتك التسويقية"
"Ranked by activities","مرتب حسب الأنشطة"
"Rate","التقييم"
"Razorpay","Razorpay"
"Razorpay API Keys","مفاتيح API لـ Razorpay"
"Please authenticate this payment to continue your subscription. This is required by RBI regulations for all recurring payments.","يرجى مصادقة هذا الدفع لمتابعة اشتراكك. هذا مطلوب بموجب أنظمة بنك الاحتياطي الهندي لجميع المدفوعات المتكررة."
"Your subscription payment requires authentication as per RBI regulations.","يتطلب دفع اشتراكك مصادقة وفقاً لأنظمة بنك الاحتياطي الهندي."
"Due to Reserve Bank of India (RBI) regulations, all recurring payments through Razorpay require customer authentication for each transaction.","نظراً لأنظمة بنك الاحتياطي الهندي، تتطلب جميع المدفوعات المتكررة عبر Razorpay مصادقة العميل لكل معاملة."
"Razorpay auto-billing requires additional setup with customer tokens and saved payment methods.","Razorpay auto-billing requires additional setup with customer tokens و saved payment methods."
"This feature requires merchant account approval from Razorpay and additional integration steps.","This feature requires merchant account approval from Razorpay و additional integration steps."
"Here&#039;s how the auto-billing process works:","إليك كيفية عمل عملية الفوترة التلقائية:"
"Razorpay Configuration","تكوين Razorpay"
"Enter your Razorpay API credentials and configure payment settings","Enter your Razorpay API credentials و configure payment settings"
"Unlike other payment gateways, Razorpay cannot automatically charge your payment method without your authentication due to RBI guidelines. You must approve each recurring payment.","على عكس بوابات الدفع الأخرى، لا يمكن لـ Razorpay خصم رسوم من طريقة الدفع تلقائياً دون مصادقتك بسبب إرشادات بنك الاحتياطي الهندي. يجب عليك الموافقة على كل دفعة متكررة."
"Key ID","معرّف المفتاح"
"Your Razorpay Key ID (starts with rzp_test_ or rzp_live_)","Your Razorpay Key ID(starts with rzp_test_ أو rzp_live_)"
"Key Secret","سر المفتاح"
"Your Razorpay Key Secret (keep this secure)","مفتاح Razorpay السري (احتفظ به آمناً)"
"Razorpay Payment","دفع Razorpay"
"Razorpay payment is currently not available","دفع Razorpay غير متاح حالياً"
"Razorpay Payment Settings","إعدادات دفع Razorpay"
"RBI Compliance for Recurring Payments","امتثال RBI للمدفوعات المتكررة"
"Due to Reserve Bank of India (RBI) regulations, all recurring payments require additional authentication by the customer for each transaction.","نظراً لأنظمة بنك الاحتياطي الهندي، تتطلب جميع المدفوعات المتكررة مصادقة إضافية من العميل لكل معاملة."
"Save your payment method for future use","احفظ طريقة الدفع الخاصة بك للاستخدام في المستقبل"
"Approve each recurring payment when notified","وافق على كل دفعة متكررة عند الإشعار"
"Check your email for payment authentication links when renewals are due","تحقق من بريدك الإلكتروني للحصول على روابط مصادقة الدفع عند استحقاق التجديدات"
"Supports UPI, Cards, Net Banking, and Digital Wallets","Supports UPI, Cards, Net Banking, و Digital Wallets"
"Webhook Configuration","تكوين Webhook"
"Configure webhook endpoints in your Razorpay dashboard","قم بتكوين نقاط نهاية webhook في لوحة تحكم Razorpay"
"Enable these events: payment.captured, payment.failed, order.paid, payment.authorized","قم بتفعيل هذه الأحداث: payment.captured, payment.failed, order.paid, payment.authorized"
"Webhook Secret","سر Webhook"
"Optional: Secret for webhook signature verification","اختياري: سر للتحقق من توقيع webhook"
"Copy the URL below and add it as a webhook endpoint in your Razorpay dashboard","Copy the URL below و add it as a webhook endpoint in your Razorpay dashboard"
"As per Reserve Bank of India (RBI) regulations, all recurring payments require additional authentication.","وفقاً لأنظمة بنك الاحتياطي الهندي، تتطلب جميع المدفوعات المتكررة مصادقة إضافية."
"Re-Captcha","Re-Captcha"
"Real-Time Event Broadcasting","بث الأحداث في الوقت الفعلي"
"Set up real-time communication channels for instant updates and live interactions across your application.","Set up real-time communication channels for instant updates و live interactions across your application."
"Reason for Rejection","سبب الرفض"
"Re-Captcha site key","مفتاح موقع Re-Captcha"
"Re-Captcha site secret","سر موقع Re-Captcha"
"Recent Invoices","الفواتير الأخيرة"
"Recent Transactions","المعاملات الأخيرة"
"Recent Webhook Activity","نشاط Webhook الأخير"
"Recommended Actions:","الإجراءات الموصى بها:"
"Recommended size","الحجم الموصى به"
"Redis","Redis"
"Redis connection test failed","فشل اختبار اتصال Redis"
"Redis connection test successful","نجح اختبار اتصال Redis"
"To enable Redis, please complete the following steps","لتمكين Redis، يرجى إكمال الخطوات التالية"
"Redis Not Available","Redis غير متاح"
"Redis queue is enabled. Configure workers to process background jobs efficiently.","قائمة انتظار Redis مفعّلة. قم بتكوين العمال لمعالجة مهام الخلفية بكفاءة."
"Redis queue is now enabled. Laravel Horizon is available for queue monitoring.","قائمة انتظار Redis مفعّلة الآن. Laravel Horizon متاح لمراقبة قائمة الانتظار."
"Redis Server Status","حالة خادم Redis"
"Check the status and connectivity of your Redis server for caching and queuing.","تحقق من حالة واتصال خادم Redis الخاص بك للتخزين المؤقت والطوابير."
"Refresh","تحديث"
"Refresh Service","تحديث الخدمة"
"Regenerate Secret","إعادة إنشاء السر"
"Register","التسجيل"
"Welcome! Your registration is completed successfully.","مرحباً! تم إكمال تسجيلك بنجاح."
"Registrations are temporarily closed","التسجيل مغلق مؤقتاً"
"Reject Payment","رفض الدفعة"
"Are you sure you want to reject this payment? This action cannot be undone.","هل أنت متأكد من رفض هذه الدفعة؟ لا يمكن التراجع عن هذا الإجراء."
"Remember me","تذكرني"
"Remove","إزالة"
"Remove Image","إزالة الصورة"
"Remove Image","إزالة الصورة"
"Removed successfully","تمت الإزالة بنجاح"
"Renew Support","تجديد الدعم"
"Reopen Ticket","إعادة فتح التذكرة"
"Replied to","تم الرد على"
"Replies:","الردود:"
"Reply added successfully!","تمت إضافة الرد بنجاح!"
"Reply added and ticket closed successfully!","Reply added و تم إغلاق التذكرة بنجاح!"
"Reply &amp; Close","رد وإغلاق"
"Reply attachment upload failed","فشل رفع مرفق الرد"
"Reply Date:","تاريخ الرد:"
"Reply deleted successfully!","تم حذف الرد بنجاح!"
"Reply to Client","الرد على العميل"
"Require email verification before tenants can access their accounts","يتطلب التحقق من البريد الإلكتروني قبل أن يتمكن المستأجرون من الوصول إلى حساباتهم"
"Required File Name","اسم الملف المطلوب"
"Resend Verification Email","إعادة إرسال بريد التحقق الإلكتروني"
"Reset","إعادة تعيين"
"Reset Password","إعادة تعيين كلمة المرور"
"Reset Password","إعادة تعيين كلمة المرور"
"Reset to Defaults","إعادة التعيين إلى الافتراضي"
"Resolved","تم الحل"
"Resource Limits","حدود الموارد"
"Respond to the client promptly","استجب للعميل على الفور"
"Response sent","تم إرسال الاستجابة"
"Restore","استعادة"
"Resume Now","استئناف الآن"
"Resume Subscription","استئناف الاشتراك"
"Resume subscription on","استئناف الاشتراك في"
"Resumes At","يستأنف في"
"Return to Dashboard","العودة إلى لوحة التحكم"
"Revenue","الإيرادات"
"Revenue Over Time","الإيرادات مع مرور الوقت"
"Review the client&#039;s response thoroughly","راجع رد العميل بدقة"
"Review Ticket in Admin Panel","مراجعة التذكرة في لوحة المدير"
"Review the ticket and client information","Review the ticket و معلومات العميل"
"Role","الدور"
"Role deleted successfully","تم حذف الدور بنجاح"
"The Role is already being used","الدور مستخدم بالفعل"
"Failed to save role!","فشل حفظ الدور!"
"Role created successfully","تم إنشاء الدور بنجاح"
"Role","الدور"
"Role updated successfully","تم تحديث الدور بنجاح"
"Roles &amp; Permissions","الأدوار والصلاحيات"
"Run Cron Manually","تشغيل Cron يدوياً"
"Run Tool","تشغيل الأداة"
"Running...","جاري التشغيل..."
"© 2025 Your SaaS Platform. All rights reserved.","© 2025 منصة SaaS الخاصة بك. جميع الحقوق محفوظة."
"Sales","المبيعات"
"Sample keys","مفاتيح نموذجية"
"Sandbox Mode","وضع الاختبار"
"Save","حفظ"
"Save Changes","حفظ التغييرات"
"Save Changes","حفظ التغييرات"
"Save Configuration","حفظ التكوين"
"Save Plan","حفظ الخطة"
"Save Secret","حفظ السر"
"Save Settings","حفظ الإعدادات"
"Save Template","حفظ القالب"
"Saving...","جاري الحفظ..."
"Scheduled Tasks Management","إدارة المهام المجدولة"
"Search FAQs...","البحث في الأسئلة الشائعة..."
"Search merge fields","البحث في حقول الدمج"
"Search plans","البحث في الخطط"
"Search Tenant","البحث عن مستأجر"
"Secondary Button Text","نص الزر الثانوي"
"Secondary Button Type","نوع الزر الثانوي"
"Secondary Button URL","رابط الزر الثانوي"
"Secret Key","المفتاح السري"
"Your Stripe secret key (starts with sk_)","مفتاح Stripe السري (يبدأ بـ sk_)"
"Section Title and Subtitle","Section Title و العنوان الفرعي"
"Section title subtitle settings","إعدادات عنوان وعنوان فرعي للقسم"
"This is a secure area of the application. Please confirm your password before continuing.","هذه منطقة آمنة من التطبيق. يرجى تأكيد كلمة المرور قبل المتابعة."
"Secure Password Reset","إعادة تعيين كلمة مرور آمنة"
"Secure payment powered by PayPal","دفع آمن مدعوم من PayPal"
"Secure your webhooks with a secret token to verify requests","أمّن webhooks الخاصة بك برمز سري للتحقق من الطلبات"
"Security","الأمان"
"Select a Plan","اختر خطة"
"Select Action","اختر إجراء"
"Select Admin","اختر مدير"
"Select Admin to Add","اختر مدير للإضافة"
"Select assignee","اختر معيّن"
"Select Assignees","اختر المعيّنين"
"Select Country","اختر الدولة"
"Select Date Format","اختر تنسيق التاريخ"
"Select Default Language","اختر اللغة الافتراضية"
"Select taxes that should be applied to invoices by default","اختر الضرائب التي يجب تطبيقها على الفواتير افتراضياً"
"Select Department","اختر القسم"
"Please select departments to perform bulk action","يرجى اختيار الأقسام لتنفيذ الإجراء الجماعي"
"Select File","اختر ملف"
"Select Language","اختر اللغة"
"Select Option","اختر خيار"
"Select Option","اختر خيار"
"Select or browse to Hero Image from your gallery.","اختيار أو browse to Hero Image from your gallery."
"Select Period","اختر الفترة"
"Please select a plan to continue.","يرجى اختيار خطة للمتابعة."
"Select Priority","اختر الأولوية"
"Select Role","اختر الدور"
"Select SMTP Encryption","اختر تشفير SMTP"
"Select SMTP Protocol","اختر بروتوكول SMTP"
"Select Status","اختر الحالة"
"Select Taxes","اختر الضرائب"
"Select Tenant","اختر المستأجر"
"Select the appropriate client for this ticket","اختر العميل المناسب لهذه التذكرة"
"Select Time Format","اختر تنسيق الوقت"
"Select Timezone","اختر المنطقة الزمنية"
"Select or browse to Unique Feature Image from your gallery.","اختيار أو browse to Unique Feature Image from your gallery."
"Selected:","المحدد:"
"Selected Assignees:","المعيّنون المحددون:"
"Some selected departments have tickets assigned to them.","بعض الأقسام المحددة لديها تذاكر معينة لها."
"Selected Files","الملفات المحددة"
"The selected user must be an active admin to assign tickets.","يجب أن يكون المستخدم المحدد مسؤولاً نشطاً لتعيين التذاكر."
"Send email notification","إرسال إشعار بالبريد الإلكتروني"
"We&#039;ll send instructions to your email","سنرسل التعليمات إلى بريدك الإلكتروني"
"Send Reply","إرسال رد"
"Send reset link","إرسال رابط إعادة التعيين"
"Send Test Email","إرسال بريد إلكتروني تجريبي"
"Send test email to make sure that your SMTP settings is set correctly.","أرسل بريداً اختبارياً للتأكد من تكوين إعدادات SMTP بشكل صحيح."
"Is Verified User","مستخدم موثّق"
"Send Welcome Mail","إرسال بريد ترحيب"
"Sender Email","بريد المرسل"
"Sender Name","اسم المرسل"
"Sending...","جارٍ الإرسال..."
"Sends a test ping to verify webhook is correctly configured and receiving messages.","Sends a test ping to verify webhook is correctly configured و receiving messages."
"Sends welcome email to new users after registration.","إرسال بريد ترحيبي للمستخدمين الجدد بعد التسجيل."
"Meta Description","الوصف التعريفي"
"Meta Keywords","الكلمات المفتاحية"
"Meta Title","عنوان Meta"
"Session Driver","محرك الجلسة"
"Set background color","تعيين لون الخلفية"
"✓ Set as base currency if this will be your primary currency for subscriptions","✓ عيّن كعملة أساسية إذا كانت هذه ستكون عملتك الرئيسية للاشتراكات"
"Set the default language for new tenants registering on the platform","تعيين اللغة الافتراضية للمستأجرين الجدد المسجلين على المنصة"
"Set Invoice And Payment Details","تعيين تفاصيل الفاتورة والدفع"
"Set message color","تعيين لون الرسالة"
"Set link text color","تعيين لون نص الرابط"
"Set priority based on urgency and impact","Set priority based on urgency و impact"
"Set realistic expectations for resolution","حدد توقعات واقعية للحل"
"Set the number of items per page for tables across the application.","تعيين عدد العناصر لكل صفحة للجداول في التطبيق."
"Set up the basic information for your offline payment method","إعداد المعلومات الأساسية لطريقة الدفع غير المتصلة"
"setting","setting"
"Failed to save settings","فشل حفظ الإعدادات"
"Settings saved successfully","تم حفظ الإعدادات بنجاح"
"Setting up the Cronjob","إعداد مهمة Cronjob"
"Settings","الإعدادات"
"Settings have been reset to default values","تم إعادة تعيين الإعدادات إلى القيم الافتراضية"
"Settings saved successfully.","تم حفظ الإعدادات بنجاح."
"Setup","الإعداد"
"Setup Auto Billing","إعداد الفوترة التلقائية"
"Setup Guide","دليل الإعداد"
"Configure automatic billing for recurring subscriptions","تكوين الفوترة التلقائية للاشتراكات المتكررة"
"Setup Subscription","إعداد الاشتراك"
"Set up webhooks to receive real-time notifications when events happen in your Stripe account.","إعداد webhooks لتلقي إشعارات في الوقت الفعلي عند حدوث أحداث في حساب Stripe الخاص بك."
"Show active only","إظهار النشطة فقط"
"Show in menu","إظهار في القائمة"
"Show Preview","عرض المعاينة"
"Showing page","عرض الصفحة"
"Sign in to access your WhatsApp marketing dashboard","سجّل الدخول للوصول إلى لوحة التحكم للتسويق عبر واتساب"
"Site Description","وصف الموقع"
"Site Logo","شعار الموقع"
"Site Name","اسم الموقع"
"This site is protected by reCAPTCHA and the Google","This site is protected by reCAPTCHA و the Google"
"Size:","الحجم:"
"Slug","الاختصار"
"SMTP","SMTP"
"SMTP Encryption","تشفير SMTP"
"SMTP Host","مضيف SMTP"
"SMTP Password","كلمة مرور SMTP"
"SMTP Port","منفذ SMTP"
"SMTP Protocol","بروتوكول SMTP"
"SMTP Username","اسم مستخدم SMTP"
"Software Update Management","إدارة تحديثات البرامج"
"Manage application version updates, check for new releases, and control the update deployment process.","Manage application version updates, check for new releases, و control the update deployment process."
"Something went wrong!","حدث خطأ ما!"
"This field contain invalid characters, script, or HTML.","This field contain invalid characters, script, أو HTML."
"SR.NO","الرقم التسلسلي"
"SSL","SSL"
"SSL is required for desktop notifications.","SSL مطلوب لإشعارات سطح المكتب."
"Staff","الموظفون"
"Start Date","تاريخ البدء"
"Started","بدأ"
"Started At","بدأ في"
"Started On","بدأ بتاريخ"
"Status","الحالة"
"#Select Color","#اختر اللون"
"Status:","الحالة:"
"Status Options","خيارات الحالة"
"Status updated successfully","تم تحديث الحالة بنجاح"
"Stop Bot","إيقاف البوت"
"Storage linked successfully","تم ربط التخزين بنجاح"
"Stripe","Stripe"
"Stripe Configuration","تكوين Stripe"
"Configure your Stripe API keys and webhook settings","Configure your Stripe API keys و إعدادات Webhook"
"Stripe Payment Settings","إعدادات دفع Stripe"
"Stripe Subscription ID","معرّف اشتراك Stripe"
"Stripe Webhook Details","تفاصيل Webhook لـ Stripe"
"Subdomain","نطاق فرعي"
"Subject","الموضوع"
"Subject:","الموضوع:"
"Submit","إرسال"
"Subscribe to these fields:","الاشتراك في هذه الحقول:"
"Subscribed By","مشترك بواسطة"
"Subscribed On ","تاريخ الاشتراك"
"Subscriptions","الاشتراكات"
"Subscription Details","تفاصيل الاشتراك"
"Subscription Plans","خطط الاشتراك"
"Subscription Renewal","تجديد الاشتراك"
"Subscription Stats","إحصائيات الاشتراكات"
"Subscription Status","حالة الاشتراك"
"Subscription Summary","ملخص الاشتراك"
"Subscription Timeline","الجدول الزمني للاشتراك"
"Subscriptions","الاشتراكات"
"Subtotal","المجموع الفرعي"
"Successful","ناجح"
"Successful payment","دفع ناجح"
"Successful Payments","المدفوعات الناجحة"
"Successful Transactions","المعاملات الناجحة"
"Successfully returned to admin panel","تم العودة بنجاح إلى لوحة الإدارة"
"Summary Statistics","إحصائيات الملخص"
"Support","الدعم"
"Support Agent","موظف الدعم"
"Support Tickets","تذاكر الدعم"
"Supported Currencies","العملات المدعومة"
